Location,Latitude,Longitude
Basel,28.6273928,77.1716954
Pepa -,47.5581077,7.5878261
Pindi-Khut -,-7.0770001,29.724444
Fairbanks,25.0375198,121.5636796
Sloan 10,64.837845,-147.716675
Konduz Afghanistan,42.8911746,-78.7954766
Mazâr-e Charif Afghanistan,36.7175566,68.8672916
Kholm Afghanistan,36.814534,67.743267
Komaki Aichi,31.5852277,64.3608959
Wainwright Alaska,34.939076650000004,69.27647271784608
Tanana Alaska,34.75,67.25
Shemya Alaska,35.3066073,136.934098
Nome Alaska,60.4286694,-150.37468456450287
Tchamulate Angola,55.3430696,-131.6466819
Roque Perez Argentina,66.6023978,-160.0113003
Perth Australia,64.6178042,-162.2624238
Baku Azerbaijan,70.6369444,-160.038333
New Providence Island Bahamas,65.1719444,-152.078888
Crimea Black,52.72274555,174.1003202448324
Carolina Brazil,64.4975098,-165.4061701
Anchieta Island Brazil,36.7729333,3.0588445
Rio de Janeiro Brazil,24.3753438,4.3208436
Manaus Brazil Amazonaves,36.5755523,2.9128963
Vancouver British,-35.3964431,-59.3312128
Castrovillari Calabria,-38.3695057,-69.832275
Whittier California,-25.1076701,-64.3494964
Avalon California,-37.9064862,144.7533059
Coyhaique Chile,-31.9558933,115.8605855
Shensi China?,-13.8240162,131.835484
Bogota Colombia,-34.0845443,151.1512348
Malaga Colombia,-8.5509257,115.1245796931718
Saravena Colombia,-13.4130678,-66.0371584
Villavicencio Colombia,-21.16636,27.502515
Puerto Asis Colombia,-7.3313437,-47.4738762
Sogamosa Colombia,-27.5973002,-48.5496098
Cucuta Colombia,-2.6344567,-56.7319324
Dubrovnik Croatia,-31.3314264,-54.1062808
Combi Cyprus,-23.5435611,-45.06331321298988
Nicosia Cyprus,-31.7699736,-52.3410161
Massamba Democratic,-5.5269279,-47.478115
Cuenca Ecuador,-21.1776315,-47.8100983
Hastings England,-22.9110137,-43.2093727
Annobon Island Equatorial,49.2608724,-123.113952
Tapa AFB Estonia,39.8119315,16.2026124
Pensacola Florida,33.9749136,-118.0338664
Nuka Hiva French,33.7643852,-117.21633420764394
Barnegat New,37.71402905,-122.30779415179862
Belgrad Serbia,32.7174202,-117.162772
Kinshasa Democratic Republic of Congo,12.0831175,15.0191262
Townsville Australia,45.5031824,-73.5698065
Trapani Italy,56.9281503,-126.8875119363076
Hyannis Massachusetts,28.2935785,-16.621447121144122
Leopoldville Democratic Republic of Congo,40.6745787,-74.090738
Mobile Alabama,-33.2300466,-70.8085254
Gozo Malta,-37.1981493,-73.5648656
Kasongo Democratic Republic of Congo,-45.5711804,-72.0684863
Folkestone England,-41.471798,-72.9395915
Folkestone Kent,25.0363006,102.7086139
Kota Kinabalu Malaysia,35.5895959,109.3013107
Mackay Australia,10.99773435,-74.7911478441537
Whyalla Australia,2.4422295,-76.6072368
"Kyiv, Ukraine",10.80408175,-74.77445095710297
Near Letschen Germany,4.6533816,-74.0836333
Near Berlin Germany,6.699661,-72.7324563
Near Takoradi Ghana,6.9564056,-71.8754435
Near Athens Greece,9.3229035,-74.5696573
Near Yangshuo Guangxi,4.11145945,-73.4967836258948
Near Kopinang Guyana,0.4979751,-76.4951418
Cape d'Arguilar Hong,8.07761875,-72.46890019811272
Near Calcutta India,40.3977612,-105.07498
Hatiara India,-4.3196982,15.3424196
Near Guwahati India,-1.6665685,29.225652
Tawang India	Pawan,42.6491029,18.0939501
Near Wamena Indonesia,35.1746503,33.3638783
Near Mamuniyeh Iran,-4.27250705,15.28303990586435
Posht-i-Badam Iran,22.8114448,89.57210075710113
Jirkouk Iraq,-1.2422413,-78.6287594
Near Baghdad Iraq,-0.3333476131046632,-78.45494249738763
North Barrule Isle,-0.2201641,-78.5123274
Off Stromboli Italy,-2.2895167,-80.0983887437901
Near Ardinello di Amaseno Italy,-2.8974072,-79.0041726
Near Formia Italy,51.4893335,-0.1440550845276872
